cntry.code,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,1002,2326,3153,3078,1503,1178,836,833,950,881,2041,2929,1159,1868,1515,1374,1382,1373,1086,1076,1115,1028,439,416,405,473,504,636,665,824,594,584
INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,,31,44,,143,,,34,37,,19,40,112,,,,28,52,86,117,133,74,219,,,,,22,27,60,31,204
IRQ,50,94,23038,327,118,149,657,572,2020,32,270,53,36,26,7927,4094,2608,3928,2217,2200,1043,1118,1072,638,1882,12221,10200,9624,10204,1257,742,858
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,5,18,16,31,49,44,35,71,,,,77,244,611,309,378,120,547,276,665,696,27,78,235,,2371,,,,53,48,
ITA,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,,,,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,,,,,,,,,,,18,,10,,,,,,1,,,,2,29,29,42,48,49,85,69,61,94
KGZ,,,,,,,,,,,14,174,,,,,,,,,,,,,,,,,,,,
KHM,814,274,220,118,274,464,694,788,415,243,,,,,,,,,,,,,10,,,,,,,,,
KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,,1058,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,30,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,760,753,40,89,122,82,73,90,82,54,41,,,,,,,588,,,,,,,2,137,76,,74,,,
